,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
151,1930,1931,4,WRITING (Adaptation),Horace Jackson,Holiday,False,0
152,1930,1931,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",Little Caesar,False,0
153,1930,1931,4,WRITING (Adaptation),"Joseph L. Mankiewicz, Sam Mintz",Skippy,False,1
154,1930,1931,4,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,True,1
155,1930,1931,4,WRITING (Original Story),Rowland Brown,The Doorway to Hell,False,0
156,1930,1931,4,WRITING (Original Story),"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter,False,0
157,1930,1931,4,WRITING (Original Story),"John Bright, Kubec Glasmon",The Public Enemy,False,0
158,1930,1931,4,WRITING (Original Story),"Lucien Hubbard, Joseph Jackson",Smart Money,False,0
159,1931,1932,5,ACTOR,Wallace Beery,The Champ,True,2
160,1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,False,0
161,1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True,1
162,1931,1932,5,ACTRESS,Marie Dressler,Emma,False,1
163,1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,False,0
164,1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True,1
165,1931,1932,5,ART DIRECTION,Lazare Meerson,À Nous la Liberté,False,0
166,1931,1932,5,ART DIRECTION,Richard Day,Arrowsmith,False,0
167,1931,1932,5,ART DIRECTION,Gordon Wiles,Transatlantic,True,1
168,1931,1932,5,CINEMATOGRAPHY,Ray June,Arrowsmith,False,0
169,1931,1932,5,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,False,1
170,1931,1932,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,True,1
171,1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,True,2
172,1931,1932,5,DIRECTING,King Vidor,The Champ,False,2
173,1931,1932,5,DIRECTING,Josef Von Sternberg,Shanghai Express,False,1
174,1931,1932,5,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Arrowsmith,False,0
175,1931,1932,5,OUTSTANDING PRODUCTION,Fox,Bad Girl,False,2
176,1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,False,2
177,1931,1932,5,OUTSTANDING PRODUCTION,First National,Five Star Final,False,0
178,1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,True,1
179,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,False,0
180,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,False,1
181,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,False,0
182,1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,True,1
183,1931,1932,5,SHORT SUBJECT (Cartoon),"Leon Schlesinger, Producer",It's Got Me Again,False,0
184,1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mickey's Orphans,False,0
185,1931,1932,5,SHORT SUBJECT (Comedy),"Mack Sennett, Producer",The Loud Mouth,False,0
186,1931,1932,5,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,True,1
187,1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,False,0
188,1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,False,0
189,1931,1932,5,SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,False,0
190,1931,1932,5,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,False,0
191,1931,1932,5,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,True,1
192,1931,1932,5,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,False,0
193,1931,1932,5,SOUND RECORDING,Paramount Publix Studio Sound Department,,True,0
194,1931,1932,5,SOUND RECORDING,RKO Radio Studio Sound Department,,False,0
195,1931,1932,5,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,,False,0
196,1931,1932,5,WRITING (Adaptation),Sidney Howard,Arrowsmith,False,0
197,1931,1932,5,WRITING (Adaptation),Edwin Burke,Bad Girl,True,2
198,1931,1932,5,WRITING (Adaptation),"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde,False,1
199,1931,1932,5,WRITING (Original Story),Frances Marion,The Champ,True,2
200,1931,1932,5,WRITING (Original Story),"Grover Jones, William Slavens McNutt",Lady and Gent,False,0
201,1931,1932,5,WRITING (Original Story),Lucien Hubbard,The Star Witness,False,0
202,1931,1932,5,WRITING (Original Story),"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood?,False,0
203,1931,1932,5,SPECIAL AWARD," Walt Disney for the creation of ""Mickey Mouse.""",,True,0
204,1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,False,0
205,1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,True,1
206,1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False,0
207,1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,True,1
208,1932,1933,6,ACTRESS,May Robson,Lady for a Day,False,0
209,1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,False,3
210,1932,1933,6,ART DIRECTION,William S. Darling,Cavalcade,True,3
211,1932,1933,6,ART DIRECTION,"Hans Dreier, Roland Anderson",A Farewell to Arms,False,2
212,1932,1933,6,ART DIRECTION,Cedric Gibbons,When Ladies Meet,False,0
213,1932,1933,6,ASSISTANT DIRECTOR,Percy Ikerd (Fox),,False,0
214,1932,1933,6,ASSISTANT DIRECTOR,William Tummel (Fox),,True,0
215,1932,1933,6,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer),,True,0
216,1932,1933,6,ASSISTANT DIRECTOR,Bunny Dull (Metro-Goldwyn-Mayer),,False,0
217,1932,1933,6,ASSISTANT DIRECTOR,John S. Waters (Metro-Goldwyn-Mayer),,False,0
218,1932,1933,6,ASSISTANT DIRECTOR,Charles Barton (Paramount),,True,0
219,1932,1933,6,ASSISTANT DIRECTOR,Sidney S. Brod (Paramount),,False,0
220,1932,1933,6,ASSISTANT DIRECTOR,Arthur Jacobson (Paramount),,False,0
221,1932,1933,6,ASSISTANT DIRECTOR,Eddie Killey (RKO Radio),,False,0
222,1932,1933,6,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio),,True,0
223,1932,1933,6,ASSISTANT DIRECTOR,Fred Fox (United Artists),,True,0
224,1932,1933,6,ASSISTANT DIRECTOR,Benjamin Silvey (United Artists),,False,0
225,1932,1933,6,ASSISTANT DIRECTOR,Scott Beal (Universal),,True,0
226,1932,1933,6,ASSISTANT DIRECTOR,Joe McDonough (Universal),,False,0
227,1932,1933,6,ASSISTANT DIRECTOR,W. J. Reiter (Universal),,False,0
228,1932,1933,6,ASSISTANT DIRECTOR,Al Alborn (Warner Bros.),,False,0
229,1932,1933,6,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.),,True,0
230,1932,1933,6,ASSISTANT DIRECTOR,Frank X. Shaw (Warner Bros.),,False,0
231,1932,1933,6,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",A Farewell to Arms,True,2
232,1932,1933,6,CINEMATOGRAPHY,George J. Folsey,Reunion in Vienna,False,0
233,1932,1933,6,CINEMATOGRAPHY,Karl Struss,The Sign of the Cross,False,0
234,1932,1933,6,DIRECTING,Frank Lloyd,Cavalcade,True,3
235,1932,1933,6,DIRECTING,Frank Capra,Lady for a Day,False,0
236,1932,1933,6,DIRECTING,George Cukor,Little Women,False,3
237,1932,1933,6,OUTSTANDING PRODUCTION,Fox,Cavalcade,True,3
238,1932,1933,6,OUTSTANDING PRODUCTION,Paramount,A Farewell to Arms,False,2
239,1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,False,0
240,1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,I Am a Fugitive from a Chain Gang,False,0
241,1932,1933,6,OUTSTANDING PRODUCTION,Columbia,Lady for a Day,False,0
242,1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,False,3
243,1932,1933,6,OUTSTANDING PRODUCTION,London Films,The Private Life of Henry VIII,False,1
244,1932,1933,6,OUTSTANDING PRODUCTION,Paramount,She Done Him Wrong,False,0
245,1932,1933,6,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Smilin' Through,False,0
246,1932,1933,6,OUTSTANDING PRODUCTION,Fox,State Fair,False,1
247,1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Building a Building,False,0
248,1932,1933,6,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",The Merry Old Soul,False,0
249,1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs,True,1
250,1932,1933,6,SHORT SUBJECT (Comedy),"Warren Doane, Producer",Mister Mugg,False,0
251,1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",A Preferred List,False,0
252,1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris,True,1
253,1932,1933,6,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa,True,1
254,1932,1933,6,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Menu,False,0
255,1932,1933,6,SHORT SUBJECT (Novelty),Educational,The Sea,False,0
256,1932,1933,6,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,True,2
257,1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",42nd Street,False,0
258,1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Gold Diggers of 1933,False,0
259,1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",I Am a Fugitive from a Chain Gang,False,0
260,1932,1933,6,WRITING (Adaptation),Robert Riskin,Lady for a Day,False,0
261,1932,1933,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,True,3
262,1932,1933,6,WRITING (Adaptation),"Paul Green, Sonya Levien",State Fair,False,1
263,1932,1933,6,WRITING (Original Story),Robert Lord,One Way Passage,True,1
264,1932,1933,6,WRITING (Original Story),Frances Marion,The Prizefighter and the Lady,False,0
265,1932,1933,6,WRITING (Original Story),Charles MacArthur,Rasputin and the Empress,False,0
266,1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True,5
267,1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,False,0
268,1934,1935,7,ACTOR,William Powell,The Thin Man,False,0
269,1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,True,5
270,1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,False,0
271,1934,1935,7,ACTRESS,Grace Moore,One Night of Love,False,2
272,1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,False,0
273,1934,1935,7,ART DIRECTION,Richard Day,The Affairs of Cellini,False,0
