Title,AgeRating,Languages
Who's Afraid of Virginia Woolf?,"['English', 'Latin', 'Spanish']",
La Grande Illusion,"['French', 'German', 'English', 'Russian']",
His Girl Friday,"['English', 'French']",
The Insider,"['English', 'Japanese', 'Arabic', 'Persian']",
A Night at the Opera,"['English', 'Italian']",
The Killing,['English'],
Battleship Potemkin,"['Russian', 'English']",
Man on the Moon,['English'],
A Simple Plan,['English'],
The Hustler,['English'],
Ikiru,['Japanese'],
The Straight Story,['English'],
Central Station,"['Portuguese', 'German']",
Children of Paradise,['French'],
October Sky,['English'],
A Christmas Carol,['English'],
Nosferatu,"['German', 'English']",
Go,['English'],
Gods and Monsters,"['English', 'Hungarian']",
Eyes Wide Shut,['English'],
Stalag 17,"['English', 'German', 'Russian']",
Stagecoach,"['English', 'Spanish', 'French']",
Election,"['English', 'Spanish']",
Fanny and Alexander,"['Swedish', 'German', 'Yiddish', 'English', 'French']",
The Man Who Shot Liberty Valance,['English'],
Amarcord,"['Italian', 'Greek, Ancient (to 1453)']",
"South Park: Bigger, Longer & Uncut",['English'],
The 39 Steps,['English'],
La Strada,['Italian'],
"Black Cat, White Cat","['Romany', 'Serbian', 'Bulgarian']",
The Exorcist,"['English', 'Latin', 'Greek', 'French', 'German', 'Arabic', 'Kurdish']",
Laura,['English'],
Shadow of a Doubt,['English'],
Rio Bravo,"['English', 'Spanish']",
Au Revoir les Enfants,"['French', 'German', 'English', 'Greek', 'Latin']",
The Red Violin,"['English', 'Italian', 'German', 'French', 'Mandarin']",
Harvey,"['English', 'Spanish', 'Latin']",
Dogma,['English'],
The Thin Man,['English'],
The Lion in Winter,"['English', 'French', 'Latin']",
E.T. the Extra-Terrestrial,['English'],
Happiness,"['English', 'Russian']",
Boys Don't Cry,['English'],
Elizabeth,"['English', 'French']",
Un Chien Andalou,['French'],
Inherit the Wind,['English'],
King Kong,['English'],
In the Heat of the Night,['English'],
The Caine Mutiny,['English'],
A Bug's Life,['English'],
The Haunting,['English'],
Anatomy of a Murder,['English'],
Almost Famous,"['English', 'French']",
"Crouching Tiger, Hidden Dragon","['Chinese', 'Mandarin']",
Magnolia,"['English', 'German', 'French']",
Gladiator,['English'],
Dancer in the Dark,"['English', 'German', 'Czech']",
Requiem for a Dream,['English'],
Chicken Run,['English'],
Billy Elliot,['English'],
A Charlie Brown Christmas,['English'],
High Fidelity,"['English', 'Danish']",
Show Me Love,['Swedish'],
From Here to Eternity,['English'],
The Lord of the Rings: The Fellowship of the Ring,"['English', 'Sindarin']",
Memento,['English'],
Amélie,"['French', 'Russian', 'English']",
Shrek,['English'],
Traffic,"['English', 'Spanish']",
Moulin Rouge!,"['English', 'French', 'Spanish']",
"Monsters, Inc.",['English'],
The Others,['English'],
Snatch,"['English', 'Russian']",
"O Brother, Where Art Thou?",['English'],
Mulholland Drive,"['English', 'Spanish', 'French']",
You Can Count on Me,['English'],
Amores perros,['Spanish'],
Ghost World,['English'],
JFK,"['English', 'Spanish']",
The Man Who Wasn't There,"['English', 'Italian', 'French']",
Planet of the Apes,['English'],
The Lord of the Rings: The Two Towers,"['English', 'Sindarin', 'Old English']",
Donnie Darko,['English'],
Spirited Away,"['Japanese', 'English']",
Minority Report,"['English', 'Swedish']",
Road to Perdition,['English'],
A Beautiful Mind,['English'],
To Be or Not to Be,"['English', 'German']",
Punch-Drunk Love,['English'],
Red River,"['English', 'Spanish']",
Y tu mamá también,['Spanish'],
A Man for All Seasons,"['English', 'Latin', 'Spanish', 'French']",
The Lord of the Rings: The Return of the King,"['English', 'Quenya', 'Old English', 'Sindarin']",
The Pianist,"['English', 'German', 'Russian']",
City of God,['Portuguese'],
Finding Nemo,['English'],
Kill Bill: Vol. 1,"['English', 'Japanese', 'French']",
Talk to Her,['Spanish'],
Lost in Translation,"[<span class=""ipc-chip__text"" role=""presentation"">language barrier</span>, 'English', 'Japanese', 'German', 'French']",
Mystic River,['English'],
Adaptation.,"['English', 'Latin']",
Hero,['Mandarin'],
Grave of the Fireflies,['Japanese'],
Whale Rider,"['English', 'Maori']",
The Passion of Joan of Arc,"['None', 'French']",
Pirates of the Caribbean: The Curse of the Black Pearl,['English'],
The Bride of Frankenstein,['English'],
Sleuth,"['English', 'Italian']",
X2: X-Men United,"['English', 'German', 'Italian', 'Spanish']",
Eternal Sunshine of the Spotless Mind,['English'],
Kill Bill: Vol. 2,"['English', 'Cantonese', 'Mandarin', 'Spanish']",
The Incredibles,"['English', 'French']",
Oldboy,['Korean'],
Before Sunset,"['English', 'French']",
Big Fish,"['English', 'Cantonese']",
Dogville,['English'],
Garden State,"['English', 'Klingon']",
In America,"['English', 'Spanish', 'Irish Gaelic']",
21 Grams,['English'],
Sunrise,"['None', 'English']",
Finding Neverland,['English'],
The Station Agent,"['English', 'Spanish']",
Persona,"['Swedish', 'English']",
The Last Samurai,"['English', 'Japanese']",
Sullivan's Travels,['English'],
Judgment at Nuremberg,"['English', 'German']",
Kind Hearts and Coronets,"['English', 'Italian']",
Castle in the Sky,['Japanese'],
Barry Lyndon,"['English', 'German', 'French']",
In the Mood for Love,"['Cantonese', 'Shanghainese', 'French', 'Spanish']",
Throne of Blood,['Japanese'],
Hotel Rwanda,"['English', 'French', 'Kinyarwanda']",
