Title,Languages,AgeRating
The Bourne Identity,PG-13,"['English', 'French', 'German', 'Dutch', 'Italian', 'Yoruba']"
,,
Minority Report,PG-13,"['English', 'Swedish']"
,,
Spider-Man: Homecoming,PG-13,"['English', 'Spanish']"
,,
Harry Potter and the Order of the Phoenix,PG-13,"['English', 'Latin']"
,,
La La Land,PG-13,"['English', 'Cantonese']"
,,
Watchmen,R,['English']
,,
Monty Python and the Holy Grail,PG,"['English', 'French', 'Latin']"
,,
Despicable Me,PG,['English']
,,
"I, Robot",PG-13,['English']
,,
Spider-Man 3,PG-13,"['English', 'French']"
,,
Blood Diamond,R,"['English', 'Mende', 'Afrikaans']"
,,
Rise of the Planet of the Apes,PG-13,"['English', 'Sign Languages']"
,,
Juno,PG-13,"['English', 'Spanish']"
,,
Troy,R,['English']
,,
Get Out,R,"['English', 'Swahili']"
,,
American Psycho,R,"['English', 'Spanish', 'Cantonese']"
,,
Oblivion,PG-13,['English']
,,
Source Code,PG-13,['English']
,,
X-Men: The Last Stand,PG-13,['English']
,,
Pirates of the Caribbean: On Stranger Tides,PG-13,"['English', 'Spanish']"
,,
Back to the Future Part II,PG,['English']
,,
The Great Gatsby,PG-13,['English']
,,
Harry Potter and the Deathly Hallows: Part 1,PG-13,"['English', 'Latin']"
,,
Deadpool 2,R,"['English', 'Cantonese', 'Spanish', 'Russian']"
,,
The Hobbit: The Battle of the Five Armies,PG-13,['English']
,,
Rain Man,R,"['English', 'Italian']"
,,
Ex Machina,R,['English']
,,
(500) Days of Summer,PG-13,"['English', 'French', 'Swedish']"
,,
"Crazy, Stupid, Love.",PG-13,['English']
,,
Harry Potter and the Half-Blood Prince,PG,"['English', 'Latin']"
