,Rank,Release Group,Worldwide,Release Year,Domestic,%,Foreign,%.1
6694,55,Planes: Fire & Rescue,"$146,965,787",2014,"$59,165,787",40.3%,"$87,800,000",59.7%
6695,56,The Taking of Tiger Mountain,"$141,654,055",2014,"$228,984",0.2%,"$141,425,071",99.8%
6696,57,The Admiral: Roaring Currents,"$138,342,258",2014,"$2,589,811",1.9%,"$135,752,447",98.1%
6697,58,Let's Be Cops,"$138,224,951",2014,"$82,390,774",59.6%,"$55,834,177",40.4%
6698,59,Annie,"$136,853,506",2014,"$85,911,262",62.8%,"$50,942,244",37.2%
6699,60,Jack Ryan: Shadow Recruit,"$135,503,748",2014,"$50,577,412",37.3%,"$84,926,336",62.7%
6700,61,Blended,"$127,994,610",2014,"$46,294,610",36.2%,"$81,700,000",63.8%
6701,62,Sex Tape,"$126,069,509",2014,"$38,543,473",30.6%,"$87,526,036",69.4%
6702,63,The Theory of Everything,"$123,726,688",2014,"$35,893,537",29%,"$87,833,151",71%
6703,64,The Nut Job,"$120,885,527",2014,"$64,251,541",53.2%,"$56,633,986",46.8%
6704,65,Pompeii,"$117,831,631",2014,"$23,219,748",19.7%,"$94,611,883",80.3%
6705,66,Seventh Son,"$114,178,613",2014,"$17,223,265",15.1%,"$96,955,348",84.9%
6706,67,The Purge: Anarchy,"$111,928,365",2014,"$71,962,800",64.3%,"$39,965,565",35.7%
6707,68,"Dad, Where Are We Going?","$111,870,000",2014,-,-,"$111,870,000",100%
6708,69,The Boxtrolls,"$108,255,770",2014,"$50,837,305",47%,"$57,418,465",53%
6709,70,Horrible Bosses 2,"$107,645,357",2014,"$54,445,357",50.6%,"$53,200,000",49.4%
6710,71,The Breakup Guru,"$106,980,263",2014,"$208,959",0.2%,"$106,771,304",99.8%
6711,72,Ouija,"$103,590,271",2014,"$50,856,010",49.1%,"$52,734,261",50.9%
6712,73,Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094",2014,"$42,340,598",41%,"$60,874,496",59%
6713,74,Transcendence,"$103,039,258",2014,"$23,022,309",22.3%,"$80,016,949",77.7%
6714,75,Heaven Is for Real,"$101,888,019",2014,"$91,443,253",89.7%,"$10,444,766",10.3%
6715,76,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$100,654,149",2014,"$66,954,149",66.5%,"$33,700,000",33.5%
6716,77,Tammy,"$100,375,432",2014,"$84,525,432",84.2%,"$15,850,000",15.8%
6717,78,PK,"$100,370,104",2014,"$10,616,104",10.6%,"$89,754,000",89.4%
6718,79,The Continent,"$100,125,957",2014,-,-,"$100,125,957",100%
6719,80,The Book of Life,"$99,783,556",2014,"$50,151,543",50.3%,"$49,632,013",49.7%
6720,81,Ode to My Father,"$99,085,291",2014,"$2,300,121",2.3%,"$96,785,170",97.7%
6721,82,Fleet of Time,"$94,244,191",2014,"$569,280",0.6%,"$93,674,911",99.4%
6722,83,The Man from Macau,"$93,864,936",2014,-,-,"$93,864,936",100%
6723,84,Paranormal Activity: The Marked Ones,"$90,894,962",2014,"$32,462,372",35.7%,"$58,432,590",64.3%
6724,85,The Hundred-Foot Journey,"$89,514,453",2014,"$54,240,821",60.6%,"$35,273,632",39.4%
6725,86,Deliver Us from Evil,"$87,937,815",2014,"$30,577,122",34.8%,"$57,360,693",65.2%
6726,87,A Million Ways to Die in the West,"$87,189,756",2014,"$43,139,300",49.5%,"$44,050,456",50.5%
6727,88,Step Up All In,"$86,165,646",2014,"$14,904,384",17.3%,"$71,261,262",82.7%
6728,89,John Wick,"$86,013,056",2014,"$43,037,835",50%,"$42,975,221",50%
6729,90,The Judge,"$84,419,388",2014,"$47,119,388",55.8%,"$37,300,000",44.2%
6730,91,Tiny Times 3.0,"$82,320,000",2014,-,-,"$82,320,000",100%
6731,92,Gone with the Bullets,"$81,387,479",2014,-,-,"$81,387,479",100%
6732,93,Muppets Most Wanted,"$80,383,113",2014,"$51,183,113",63.7%,"$29,200,000",36.3%
6733,94,Spanish Affair,"$78,768,613",2014,-,-,"$78,768,613",100%
6734,95,If I Stay,"$78,274,843",2014,"$50,474,843",64.5%,"$27,800,000",35.5%
6735,96,Head Full of Honey,"$78,127,384",2014,-,-,"$78,127,384",100%
6736,97,"I, Frankenstein","$76,801,179",2014,"$19,075,290",24.8%,"$57,725,889",75.2%
6737,98,Crimson Peak,"$74,679,822",2014,"$31,090,320",41.6%,"$43,589,502",58.4%
6738,99,My Old Classmate,"$73,052,128",2014,-,-,"$73,052,128",100%
6739,100,The Bélier Family,"$72,751,538",2014,-,-,"$72,751,538",100%
6740,101,Brick Mansions,"$71,416,730",2014,"$20,396,829",28.6%,"$51,019,901",71.4%
6741,102,Son of God,"$70,829,270",2014,"$59,700,064",84.3%,"$11,129,206",15.7%
6742,103,Think Like a Man Too,"$70,181,428",2014,"$65,182,182",92.9%,"$4,999,246",7.1%
6743,104,Jersey Boys,"$67,647,013",2014,"$47,047,013",69.5%,"$20,600,000",30.5%
6744,105,The Giver,"$66,980,456",2014,"$45,090,374",67.3%,"$21,890,082",32.7%
6745,106,Selma,"$66,787,908",2014,"$52,076,908",78%,"$14,711,000",22%
6746,107,Beijing Love Story,"$65,842,375",2014,"$428,318",0.7%,"$65,414,057",99.3%
6747,108,The House That Never Dies,"$65,220,000",2014,-,-,"$65,220,000",100%
6748,109,The Pirates,"$64,858,224",2014,"$415,775",0.6%,"$64,442,449",99.4%
6749,110,God's Not Dead,"$64,667,874",2014,"$60,755,732",94%,"$3,912,142",6%
6750,111,The Pirate Fairy,"$63,998,725",2014,-,-,"$63,998,725",100%
6751,112,The Inbetweeners 2,"$63,852,235",2014,-,-,"$63,852,235",100%
6752,113,Begin Again,"$63,464,861",2014,"$16,170,632",25.5%,"$47,294,229",74.5%
6753,114,The White Haired Witch of Lunar Kingdom,"$62,515,046",2014,-,-,"$62,515,046",100%
6754,115,The Walk,"$61,181,942",2014,"$10,137,502",16.6%,"$51,044,440",83.4%
6755,116,Miss Granny,"$58,940,254",2014,-,-,"$58,940,254",100%
6756,117,A Walk Among the Tombstones,"$58,834,384",2014,"$26,307,600",44.7%,"$32,526,784",55.3%
6757,118,Dolphin Tale 2,"$57,824,533",2014,"$42,024,533",72.7%,"$15,800,000",27.3%
6758,119,St. Vincent,"$54,837,234",2014,"$44,137,712",80.5%,"$10,699,522",19.5%
6759,120,No Good Deed,"$54,323,210",2014,"$52,543,632",96.7%,"$1,779,578",3.3%
6760,121,Overheard 3,"$53,493,428",2014,-,-,"$53,493,428",100%
6761,122,Supercondriaque,"$53,425,036",2014,-,-,"$53,425,036",100%
6762,123,3 Days to Kill,"$53,260,230",2014,"$30,697,999",57.6%,"$22,562,231",42.4%
6763,124,Rurouni Kenshin Part II: Kyoto Inferno,"$52,696,176",2014,-,-,"$52,696,176",100%
6764,125,Wild,"$52,501,541",2014,"$37,880,356",72.2%,"$14,621,185",27.8%
6765,126,Magic in the Moonlight,"$51,029,361",2014,"$10,539,326",20.7%,"$40,490,035",79.3%
6766,127,About Last Night,"$50,445,860",2014,"$48,637,684",96.4%,"$1,808,176",3.6%
6767,128,Dearest 2014 Re-release,"$50,000,583",2014,-,-,"$50,000,583",100%
6768,129,Whiplash,"$48,982,041",2014,"$13,092,000",26.7%,"$35,890,041",73.3%
6769,130,Chef,"$48,428,048",2014,"$31,424,003",64.9%,"$17,004,045",35.1%
6770,131,Boyhood,"$48,137,666",2014,"$25,352,281",52.7%,"$22,785,385",47.3%
6771,132,Coming Home,"$47,587,984",2014,"$377,607",0.8%,"$47,210,377",99.2%
6772,133,Beauty and the Beast,"$47,430,624",2014,-,-,"$47,430,624",100%
6773,134,Nightcrawler,"$47,398,992",2014,"$32,381,217",68.3%,"$15,017,775",31.7%
6774,135,Earth to Echo,"$45,681,062",2014,"$38,934,842",85.2%,"$6,746,220",14.8%
6775,136,That Awkward Moment,"$45,640,143",2014,"$26,068,955",57.1%,"$19,571,188",42.9%
6776,137,Love on the Cloud,"$45,386,560",2014,"$271,734",0.6%,"$45,114,826",99.4%
6777,138,Oculus,"$44,446,287",2014,"$27,695,246",62.3%,"$16,751,041",37.7%
6778,139,The Great Hypnotist,"$44,077,818",2014,-,-,"$44,077,818",100%
6779,140,Kick,"$43,996,483",2014,"$2,472,695",5.6%,"$41,523,788",94.4%
6780,141,Asterix and Obelix: Mansion of the Gods,"$42,830,578",2014,-,-,"$42,830,578",100%
6781,142,Thermae Romae II,"$42,473,163",2014,-,-,"$42,473,163",100%
6782,143,Bang Bang,"$42,045,981",2014,"$2,546,172",6.1%,"$39,499,809",93.9%
6783,144,Detective Conan: The Sniper from Another Dimension,"$42,028,116",2014,-,-,"$42,028,116",100%
6784,145,Rurouni Kenshin: The Legend Ends,"$41,900,000",2014,-,-,"$41,900,000",100%
6785,146,"As Above, So Below","$41,898,409",2014,"$21,321,100",50.9%,"$20,577,309",49.1%
6786,147,This Is Where I Leave You,"$41,296,320",2014,"$34,296,320",83%,"$7,000,000",17%
6787,148,Boonie Bears: To the Rescue,"$40,163,675",2014,-,-,"$40,163,675",100%
6788,149,The November Man,"$39,661,919",2014,"$25,018,119",63.1%,"$14,643,800",36.9%
6789,150,Recep Ivedik 4,"$39,477,906",2014,-,-,"$39,477,906",100%
6790,151,Sin City: A Dame to Kill For,"$39,407,616",2014,"$13,757,804",34.9%,"$25,649,812",65.1%
6791,152,The Gambler,"$39,280,992",2014,"$33,680,992",85.7%,"$5,600,000",14.3%
6792,153,Samba,"$39,178,695",2014,"$151,530",0.4%,"$39,027,165",99.6%
6793,154,Women Who Flirt,"$39,156,132",2014,"$375,495",1%,"$38,780,637",99%
6794,155,Forbidden Empire 2014 Re-release,"$38,885,962",2014,-,-,"$38,885,962",100%
6795,156,The Best of Me,"$38,609,668",2014,"$26,766,213",69.3%,"$11,843,455",30.7%
6796,157,Million Dollar Arm,"$38,483,455",2014,"$36,457,627",94.7%,"$2,025,828",5.3%
6797,158,The Water Diviner,"$38,176,317",2014,"$4,196,641",11%,"$33,979,676",89%
6798,159,But Always,"$38,039,248",2014,"$430,760",1.1%,"$37,608,488",98.9%
6799,160,Devil's Due,"$36,921,560",2014,"$15,821,461",42.9%,"$21,100,099",57.1%
6800,161,A Most Wanted Man,"$36,233,517",2014,"$17,237,855",47.6%,"$18,995,662",52.4%
6801,162,Kundo: Age of the Rampant,"$35,941,291",2014,"$280,958",0.8%,"$35,660,333",99.2%
6802,163,Doraemon the Movie: The New Records of Nobita's Spaceblazer 2014 Re-release,"$35,861,856",2014,-,-,"$35,861,856",100%
6803,164,When Marnie Was There,"$34,949,567",2014,"$561,085",1.6%,"$34,388,482",98.4%
6804,165,Endless Love,"$34,718,173",2014,"$23,438,250",67.5%,"$11,279,923",32.5%
6805,166,Black & White: The Dawn of Justice,"$34,146,896",2014,-,-,"$34,146,896",100%
6806,167,"My Love, Don't Cross That River","$34,012,261",2014,-,-,"$34,012,261",100%
6807,168,Don't Go Breaking My Heart 2,"$33,801,759",2014,-,-,"$33,801,759",100%
6808,169,Get on Up,"$33,448,971",2014,"$30,703,100",91.8%,"$2,745,871",8.2%
6809,170,Girls,"$33,325,338",2014,-,-,"$33,325,338",100%
6810,171,The Crossing,"$32,806,475",2014,-,-,"$32,806,475",100%
6811,172,Old Boys: The Way of the Dragon,"$32,800,000",2014,-,-,"$32,800,000",100%
6812,173,Tinker Bell and the Legend of the NeverBeast,"$31,836,701",2014,-,-,"$31,836,701",100%
6813,174,The Four 3,"$31,521,335",2014,-,-,"$31,521,335",100%
6814,175,Tazza: The Hidden Card,"$31,278,476",2014,"$251,555",0.8%,"$31,026,921",99.2%
6815,176,Mrs. Brown's Boys D'Movie,"$31,116,264",2014,-,-,"$31,116,264",100%
6816,177,Rise of the Legend,"$30,932,534",2014,-,-,"$30,932,534",100%
6817,178,Winter's Tale,"$30,800,231",2014,"$12,600,231",40.9%,"$18,200,000",59.1%
6818,179,Wild Tales,"$30,642,704",2014,"$3,106,530",10.1%,"$27,536,174",89.9%
6819,180,When the Game Stands Tall,"$30,138,754",2014,"$30,127,963",100%,"$10,791",<0.1%
6820,181,Draft Day,"$29,824,199",2014,"$28,842,237",96.7%,"$981,962",3.3%
6821,182,Big Eyes,"$29,253,166",2014,"$14,482,031",49.5%,"$14,771,135",50.5%
6822,183,The Fatal Encounter,"$29,060,186",2014,-,-,"$29,060,186",100%
6823,184,Maya the Bee Movie,"$28,638,603",2014,-,-,"$28,638,603",100%
6824,185,Pokémon the Movie: Diancie and the Cocoon of Destruction,"$28,595,105",2014,-,-,"$28,595,105",100%
6825,186,The Divine Move,"$27,926,871",2014,"$136,707",0.5%,"$27,790,164",99.5%
6826,187,Nicholas on Holiday,"$27,567,832",2014,-,-,"$27,567,832",100%
6827,188,Grace of Monaco,"$27,515,247",2014,-,-,"$27,515,247",100%
6828,189,Left Behind,"$27,405,896",2014,"$14,019,924",51.2%,"$13,385,972",48.8%
6829,190,Joy of Fatherhood,"$27,088,817",2014,-,-,"$27,088,817",100%
6830,191,A Hard Day,"$26,488,847",2014,"$19,004",<0.1%,"$26,469,843",99.9%
6831,192,Top Five,"$26,117,471",2014,"$25,317,471",96.9%,"$800,000",3.1%
6832,193,Iceman,"$26,033,917",2014,"$7,679",<0.1%,"$26,026,238",100%
6833,194,Meet Miss Anxiety,"$25,948,636",2014,-,-,"$25,948,636",100%
6834,195,"Love, Rosie","$25,574,387",2014,"$20,431",<0.1%,"$25,553,956",99.9%
6835,196,A Haunted House 2,"$25,358,716",2014,"$17,329,486",68.3%,"$8,029,230",31.7%
6836,197,And So It Goes,"$25,312,387",2014,"$15,160,801",59.9%,"$10,151,586",40.1%
6837,198,Kung Fu Jungle,"$24,070,765",2014,"$129,784",0.5%,"$23,940,981",99.5%
6838,199,Hot Road,"$22,916,313",2014,-,-,"$22,916,313",100%
6839,200,Fading Gigolo,"$22,706,304",2014,"$3,769,873",16.6%,"$18,936,431",83.4%
6840,1,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624",2015,"$936,662,225",45.3%,"$1,131,561,399",54.7%
6841,2,Jurassic World,"$1,670,400,637",2015,"$652,270,625",39%,"$1,018,130,012",61%
6842,3,Furious 7,"$1,515,047,671",2015,"$353,007,020",23.3%,"$1,162,040,651",76.7%
6843,4,Avengers: Age of Ultron,"$1,402,805,868",2015,"$459,005,868",32.7%,"$943,800,000",67.3%
6844,5,Minions,"$1,159,398,397",2015,"$336,045,770",29%,"$823,352,627",71%
6845,6,Spectre,"$880,674,609",2015,"$200,074,609",22.7%,"$680,600,000",77.3%
6846,7,Inside Out,"$857,611,174",2015,"$356,461,711",41.6%,"$501,149,463",58.4%
6847,8,Mission: Impossible - Rogue Nation,"$682,714,267",2015,"$195,042,377",28.6%,"$487,671,890",71.4%
6848,9,The Hunger Games: Mockingjay - Part 2,"$658,344,137",2015,"$281,723,902",42.8%,"$376,620,235",57.2%
6849,10,The Martian,"$630,161,890",2015,"$228,433,663",36.2%,"$401,728,227",63.8%
6850,11,Fifty Shades of Grey,"$569,651,467",2015,"$166,167,230",29.2%,"$403,484,237",70.8%
6851,12,Cinderella,"$542,351,353",2015,"$201,151,353",37.1%,"$341,200,000",62.9%
6852,13,The Revenant,"$532,950,503",2015,"$183,637,894",34.5%,"$349,312,609",65.5%
6853,14,Ant-Man,"$519,311,965",2015,"$180,202,163",34.7%,"$339,109,802",65.3%
6854,15,Hotel Transylvania 2,"$474,800,000",2015,"$169,700,110",35.7%,"$305,099,890",64.3%
6855,16,San Andreas,"$473,990,832",2015,"$155,190,832",32.7%,"$318,800,000",67.3%
6856,17,Terminator Genisys,"$440,603,537",2015,"$89,760,956",20.4%,"$350,842,581",79.6%
6857,18,Kingsman: The Secret Service,"$414,351,546",2015,"$128,261,724",31%,"$286,089,822",69%
6858,19,Monster Hunt,"$387,053,506",2015,"$32,766",<0.1%,"$387,020,740",100%
6859,20,Home,"$386,041,607",2015,"$177,397,510",46%,"$208,644,097",54%
6860,21,Mad Max: Fury Road,"$374,736,354",2015,"$153,636,354",41%,"$221,100,000",59%
6861,22,The Good Dinosaur,"$332,207,671",2015,"$123,087,120",37.1%,"$209,120,551",62.9%
6862,23,Taken 3,"$326,479,141",2015,"$89,256,424",27.3%,"$237,222,717",72.7%
6863,24,The SpongeBob Movie: Sponge Out of Water,"$325,186,032",2015,"$162,994,032",50.1%,"$162,192,000",49.9%
6864,25,Maze Runner: The Scorch Trials,"$312,296,056",2015,"$81,697,192",26.2%,"$230,598,864",73.8%
6865,26,The Divergent Series: Insurgent,"$297,002,527",2015,"$130,179,072",43.8%,"$166,823,455",56.2%
6866,27,Pitch Perfect 2,"$287,144,079",2015,"$184,296,230",64.2%,"$102,847,849",35.8%
6867,28,Mojin: The Lost Legend,"$259,368,448",2015,"$1,243,810",0.5%,"$258,124,638",99.5%
6868,29,Lost in Hong Kong,"$256,283,912",2015,"$1,302,281",0.5%,"$254,981,631",99.5%
6869,30,The Peanuts Movie,"$246,233,113",2015,"$130,178,411",52.9%,"$116,054,702",47.1%
6870,31,Pixels,"$244,874,809",2015,"$78,747,585",32.2%,"$166,127,224",67.8%
6871,32,Daddy's Home,"$242,786,137",2015,"$150,357,137",61.9%,"$92,429,000",38.1%
6872,33,Spy,"$235,666,219",2015,"$110,825,712",47%,"$124,840,507",53%
6873,34,Alvin and the Chipmunks: The Road Chip,"$234,798,636",2015,"$85,886,987",36.6%,"$148,911,649",63.4%
6874,35,Goodbye Mr. Loser,"$228,122,928",2015,"$1,293,626",0.6%,"$226,829,302",99.4%
6875,36,Ted 2,"$215,863,606",2015,"$81,476,385",37.7%,"$134,387,221",62.3%
6876,37,Tomorrowland,"$209,035,668",2015,"$93,436,322",44.7%,"$115,599,346",55.3%
6877,38,Everest,"$203,427,584",2015,"$43,482,270",21.4%,"$159,945,314",78.6%
6878,39,Straight Outta Compton,"$201,634,991",2015,"$161,197,785",79.9%,"$40,437,206",20.1%
6879,40,The Intern,"$194,564,672",2015,"$75,764,672",38.9%,"$118,800,000",61.1%
6880,41,Jian Bing Man,"$186,683,536",2015,-,-,"$186,683,536",100%
6881,42,Jupiter Ascending,"$183,887,723",2015,"$47,387,723",25.8%,"$136,500,000",74.2%
6882,43,Creed,"$173,567,581",2015,"$109,767,581",63.2%,"$63,800,000",36.8%
6883,44,Fantastic Four,"$167,882,881",2015,"$56,117,548",33.4%,"$111,765,333",66.6%
6884,45,Bridge of Spies,"$165,478,348",2015,"$72,313,754",43.7%,"$93,164,594",56.3%
6885,46,From Vegas to Macau II,"$163,877,532",2015,-,-,"$163,877,532",100%
6886,47,Focus,"$158,762,963",2015,"$53,862,963",33.9%,"$104,900,000",66.1%
6887,48,Goosebumps,"$158,260,952",2015,"$80,080,379",50.6%,"$78,180,573",49.4%
6888,49,Ip Man 3,"$156,954,938",2015,"$2,679,437",1.7%,"$154,275,501",98.3%
6889,50,The Hateful Eight,"$155,760,117",2015,"$54,117,416",34.7%,"$101,642,701",65.3%
6890,51,Monkey King: Hero Is Back,"$153,262,397",2015,-,-,"$153,262,397",100%
6891,52,Gods of Egypt,"$150,680,864",2015,"$31,153,464",20.7%,"$119,527,400",79.3%
6892,53,The Last Witch Hunter,"$146,936,910",2015,"$27,367,660",18.6%,"$119,569,250",81.4%
6893,54,Trainwreck,"$140,795,793",2015,"$110,212,700",78.3%,"$30,583,093",21.7%
6894,55,Mr. Six,"$139,191,345",2015,"$1,415,450",1%,"$137,775,895",99%
6895,56,Point Break,"$133,718,711",2015,"$28,782,481",21.5%,"$104,936,230",78.5%
6896,57,The Big Short,"$133,440,870",2015,"$70,259,870",52.7%,"$63,181,000",47.3%
6897,58,Pan,"$128,388,320",2015,"$35,088,320",27.3%,"$93,300,000",72.7%
6898,59,Detective Chinatown,"$125,842,935",2015,"$474,252",0.4%,"$125,368,683",99.6%
6899,60,Wolf Totem,"$125,837,070",2015,"$210,591",0.2%,"$125,626,479",99.8%
6900,61,Ride Along 2,"$124,605,297",2015,"$91,221,830",73.2%,"$33,383,467",26.8%
6901,62,Dragon Blade,"$122,593,849",2015,"$74,068",<0.1%,"$122,519,781",99.9%
6902,63,Magic Mike XXL,"$117,813,057",2015,"$66,013,057",56%,"$51,800,000",44%
6903,64,Insidious: Chapter 3,"$112,983,889",2015,"$52,218,558",46.2%,"$60,765,331",53.8%
6904,65,Get Hard,"$111,711,453",2015,"$90,411,453",80.9%,"$21,300,000",19.1%
6905,66,The 5th Wave,"$109,906,372",2015,"$34,916,787",31.8%,"$74,989,585",68.2%
6906,67,Paul Blart: Mall Cop 2,"$107,588,225",2015,"$71,038,190",66%,"$36,550,035",34%
6907,68,Vacation,"$107,228,221",2015,"$58,884,188",54.9%,"$48,344,033",45.1%
6908,69,The Man from U.N.C.L.E.,"$107,045,109",2015,"$45,445,109",42.5%,"$61,600,000",57.5%
6909,70,Chronicles of the Ghostly Tribe,"$106,380,000",2015,-,-,"$106,380,000",100%
6910,71,Shaun the Sheep Movie,"$106,209,378",2015,"$19,375,982",18.2%,"$86,833,396",81.8%
6911,72,Sisters,"$105,011,053",2015,"$87,044,645",82.9%,"$17,966,408",17.1%
6912,73,Chappie,"$102,811,889",2015,"$31,569,268",30.7%,"$71,242,621",69.3%
6913,74,Joy,"$101,134,059",2015,"$56,451,232",55.8%,"$44,682,827",44.2%
6914,75,Black Mass,"$99,775,678",2015,"$62,575,678",62.7%,"$37,200,000",37.3%
6915,76,Spotlight,"$98,690,254",2015,"$45,055,776",45.7%,"$53,634,478",54.3%
6916,77,Devil and Angel,"$98,599,942",2015,"$131,058",0.1%,"$98,468,884",99.9%
6917,78,The Visit,"$98,450,062",2015,"$65,206,105",66.2%,"$33,243,957",33.8%
6918,79,The Little Prince,"$97,571,250",2015,"$1,339,152",1.4%,"$96,232,098",98.6%
6919,80,Assassination,"$96,119,773",2015,"$1,904,682",2%,"$94,215,091",98%
6920,81,Poltergeist,"$95,437,994",2015,"$47,425,125",49.7%,"$48,012,869",50.3%
6921,82,Veteran,"$94,393,020",2015,"$1,200,627",1.3%,"$93,192,393",98.7%
6922,83,In the Heart of the Sea,"$93,920,758",2015,"$25,020,758",26.6%,"$68,900,000",73.4%
6923,84,Kill Zone 2,"$93,638,358",2015,"$11,998",<0.1%,"$93,626,360",100%
6924,85,Southpaw,"$91,970,827",2015,"$52,421,953",57%,"$39,548,874",43%
6925,86,The Second Best Exotic Marigold Hotel,"$85,978,266",2015,"$33,078,266",38.5%,"$52,900,000",61.5%
6926,87,Paper Towns,"$85,512,300",2015,"$32,000,304",37.4%,"$53,511,996",62.6%
6927,88,Sicario,"$84,872,444",2015,"$46,889,293",55.2%,"$37,983,151",44.8%
6928,89,Our Times,"$83,867,493",2015,-,-,"$83,867,493",100%
6929,90,Suck Me Shakespeer 2,"$83,027,924",2015,-,-,"$83,027,924",100%
6930,91,Hitman: Agent 47,"$82,347,656",2015,"$22,467,450",27.3%,"$59,880,206",72.7%
6931,92,Wolf Warrior,"$81,411,331",2015,-,-,"$81,411,331",100%
6932,93,Go Away Mr. Tumor,"$80,606,893",2015,"$286,639",0.4%,"$80,320,254",99.6%
6933,94,The Wedding Ringer,"$79,799,880",2015,"$64,460,211",80.8%,"$15,339,669",19.2%
6934,95,Paranormal Activity: The Ghost Dimension,"$78,903,124",2015,"$18,300,124",23.2%,"$60,603,000",76.8%
6935,96,The Left Ear,"$78,015,473",2015,-,-,"$78,015,473",100%
6936,97,Tiny Times 4.0,"$77,750,000",2015,-,-,"$77,750,000",100%
6937,98,Bajrangi Bhaijaan,"$75,547,184",2015,"$8,178,001",10.8%,"$67,369,183",89.2%
6938,99,War Room,"$73,267,874",2015,"$67,790,117",92.5%,"$5,477,757",7.5%
6939,100,The Transporter Refueled,"$72,629,670",2015,"$16,029,670",22.1%,"$56,600,000",77.9%
6940,101,Run All Night,"$71,561,644",2015,"$26,461,644",37%,"$45,100,000",63%
6941,102,13 Hours,"$69,411,370",2015,"$52,853,219",76.1%,"$16,558,151",23.9%
6942,103,Running Man,"$68,782,475",2015,"$310,978",0.5%,"$68,471,497",99.5%
6943,104,A Violent Prosecutor,"$66,736,633",2015,-,-,"$66,736,633",100%
6944,105,The Age of Adaline,"$65,663,276",2015,"$42,629,776",64.9%,"$23,033,500",35.1%
6945,106,Monk Comes Down the Mountain,"$64,455,686",2015,-,-,"$64,455,686",100%
6946,107,Zhongkui: Snow Girl and the Dark Crystal,"$64,325,947",2015,"$165,428",0.3%,"$64,160,519",99.7%
6947,108,The Danish Girl,"$64,191,523",2015,"$11,114,018",17.3%,"$53,077,505",82.7%
6948,109,The Boy,"$64,188,367",2015,"$35,819,556",55.8%,"$28,368,811",44.2%
6949,110,The Hundred Regiments Offensive,"$63,230,000",2015,-,-,"$63,230,000",100%
6950,111,The Longest Ride,"$62,944,815",2015,"$37,446,117",59.5%,"$25,498,698",40.5%
6951,112,Unfriended,"$62,882,090",2015,"$32,482,090",51.7%,"$30,400,000",48.3%
6952,113,Brooklyn,"$62,076,141",2015,"$38,322,743",61.7%,"$23,753,398",38.3%
6953,114,"Dragon Ball Z: Resurrection ""F""","$61,768,190",2015,"$8,008,363",13%,"$53,759,827",87%
6954,115,Woman in Gold,"$61,619,773",2015,"$33,307,793",54.1%,"$28,311,980",45.9%
6955,116,Krampus,"$61,548,707",2015,"$42,725,475",69.4%,"$18,823,232",30.6%
6956,117,The Perfect Guy,"$60,273,173",2015,"$57,027,435",94.6%,"$3,245,738",5.4%
6957,118,Forever Young,"$59,981,902",2015,"$149,761",0.2%,"$59,832,141",99.8%
6958,119,Miss Granny,"$59,396,311",2015,"$234,573",0.4%,"$59,161,738",99.6%
6959,120,The Gift,"$58,978,653",2015,"$43,787,265",74.2%,"$15,191,388",25.8%
6960,121,You Are My Sunshine,"$56,640,000",2015,-,-,"$56,640,000",100%
6961,122,No Escape,"$54,418,872",2015,"$27,288,872",50.1%,"$27,130,000",49.9%
6962,123,Sinister 2,"$53,329,150",2015,"$27,740,955",52%,"$25,588,195",48%
6963,124,Detective Conan: Sunflowers of Inferno,"$52,920,296",2015,-,-,"$52,920,296",100%
6964,125,Prem Ratan Dhan Payo,"$52,715,771",2015,"$4,364,639",8.3%,"$48,351,132",91.7%
6965,126,The Boy Next Door,"$52,425,855",2015,"$35,423,380",67.6%,"$17,002,475",32.4%
6966,127,The Night Before,"$52,395,996",2015,"$43,047,372",82.2%,"$9,348,624",17.8%
6967,128,Hollywood Adventures,"$52,265,070",2015,-,-,"$52,265,070",100%
6968,129,"Yo-kai Watch Movie: It's the Secret of Birth, Meow!","$51,838,845",2015,"$257,343",0.5%,"$51,581,502",99.5%
6969,130,Hot Pursuit,"$51,380,201",2015,"$34,580,201",67.3%,"$16,800,000",32.7%
6970,131,The Himalayas,"$50,544,493",2015,"$696,717",1.4%,"$49,847,776",98.6%
6971,132,The Boy and the Beast,"$49,714,378",2015,"$490,643",1%,"$49,223,735",99%
6972,133,Surprise,"$49,567,466",2015,-,-,"$49,567,466",100%
6973,134,Entourage,"$49,263,404",2015,"$32,363,404",65.7%,"$16,900,000",34.3%
6974,135,The Woman in Black 2: Angel of Death,"$48,854,305",2015,"$26,501,323",54.2%,"$22,352,982",45.8%
6975,136,Concussion,"$48,623,572",2015,"$34,542,474",71%,"$14,081,098",29%
6976,137,Inside Men,"$47,616,503",2015,-,-,"$47,616,503",100%
6977,138,The Dead End,"$47,600,000",2015,-,-,"$47,600,000",100%
6978,139,Boonie Bears Winter,"$47,581,416",2015,-,-,"$47,581,416",100%
6979,140,Mortdecai,"$47,275,695",2015,"$7,696,134",16.3%,"$39,579,561",83.7%
6980,141,Let's Get Married,"$45,972,724",2015,"$462,918",1%,"$45,509,806",99%
6981,142,Somewhere Only We Know,"$45,737,711",2015,"$482,341",1.1%,"$45,255,370",98.9%
