Title,Genre,Rating,Runtime,Sales,Language,Age Rating,Director,Cast1,Cast2,Cast3,Cast4,Country of Origin
Shanghai Express,"Adventure, Drama",7.3,1   hour   22   minutes,NIL,"English, French, Cantonese, German",PG,Josef von Sternberg,Marlene Dietrich,Clive Brook,Anna May Wong,NIL,NIL
Bad Girl,"Drama, Romance",6.5,1   hour   30   minutes,NIL,English,Passed,Frank Borzage,James Dunn,Sally Eilers,Minna Gombell,NIL,NIL
Arrowsmith,Drama,6.2,1   hour   48   minutes,NIL,"English, Italian, Swedish",Approved,John Ford,Ronald Colman,Helen Hayes,Richard Bennett,NIL,NIL
Five Star Final,"Crime, Drama",7.3,1   hour   29   minutes,NIL,English,Not Rated,Mervyn LeRoy,Edward G. Robinson,Marian Marsh,H.B. Warner,NIL,NIL
Grand Hotel,Short,NIL,17   minutes,NIL,Hungarian,Add content advisory,Cristian Carcu,Cristian Carcu,NIL,NIL,NIL,NIL
One Hour with You,"Comedy, Musical",7.1,1   hour   18   minutes,NIL,"English, French",Passed,George Cukor,Maurice Chevalier,Jeanette MacDonald,Genevieve Tobin,NIL,NIL
The Smiling Lieutenant,"Comedy, Romance",7.2,1   hour   33   minutes,NIL,"English, French",Passed,Ernst Lubitsch,Maurice Chevalier,Claudette Colbert,Miriam Hopkins,NIL,NIL
Flowers and Trees,"Animation, Short",7.3,8   minutes,NIL,English,Approved,Burt Gillett,Burt Gillett,NIL,NIL,NIL,NIL
It's Got Me Again,"Family, Musical",5.8,7   minutes,NIL,English,Add content advisory,Rudolf Ising,Burt Gillett,NIL,NIL,NIL,NIL
Mickey's Orphans,"Family, Comedy",6.4,7   minutes,NIL,English,Approved,Burt Gillett,Burt Gillett,NIL,NIL,NIL,NIL
The Loud Mouth,"Short, Comedy",6.7,20   minutes,NIL,English,Add content advisory,Del Lord,Del Lord,NIL,NIL,NIL,NIL
The Music Box,"Short, Comedy",8,29   minutes,NIL,English,Approved,James Parrott,Stan Laurel,Oliver Hardy,Dinah,NIL,NIL
Scratch-As-Catch-Can,"Short, Comedy",6.4,19   minutes,NIL,English,Add content advisory,Mark Sandrich,Bobby Clark,Paul McCullough,James Finlayson,NIL,NIL
Stout Hearts and Willing Hands,"Short, Comedy",6.9,20   minutes,NIL,English,Passed,Bryan Foy,Frank Fay,Lew Cody,Laura La Plante,NIL,NIL
Screen Souvenirs,Short,7.3,NIL,NIL,English,Add content advisory,NIL,NIL,NIL,NIL,NIL,NIL
Swing High,"Documentary, Short",6.6,10   minutes,NIL,English,Approved,Jack Cummings,Jack Cummings,NIL,NIL,NIL,NIL
Wrestling Swordfish,"Documentary, Short",5.6,8   minutes,NIL,English,Add content advisory,Gene Towne,Jack Cummings,NIL,NIL,NIL,NIL
Arrowsmith,Drama,6.2,1   hour   48   minutes,NIL,"English, Italian, Swedish",Approved,John Ford,Ronald Colman,Helen Hayes,Richard Bennett,NIL,NIL
Lady and Gent,"Drama, Sport",6,1   hour   24   minutes,NIL,English,Add content advisory,Stephen Roberts,George Bancroft,Wynne Gibson,Charles Starrett,NIL,NIL
The Star Witness,Drama,6.3,1   hour   8   minutes,NIL,"English, German",Passed,William A. Wellman,Walter Huston,Frances Starr,Grant Mitchell,NIL,NIL
What Price Hollywood?,Drama,7.1,1   hour   28   minutes,NIL,"English, French",Passed,George Cukor,Constance Bennett,Lowell Sherman,Neil Hamilton,NIL,NIL
Berkeley Square,"Fantasy, Romance",6.5,1   hour   28   minutes,NIL,English,Passed,Frank Lloyd,Leslie Howard,Heather Angel,Valerie Taylor,NIL,NIL
The Private Life of Henry VIII,Drama,7,1   hour   37   minutes,NIL,"German, English",Passed,Alexander Korda,Charles Laughton,Robert Donat,Franklin Dyall,NIL,NIL
I Am a Fugitive from a Chain Gang,"Crime, Drama",8.2,1   hour   32   minutes,NIL,English,Passed,Mervyn LeRoy,Paul Muni,Glenda Farrell,Helen Vinson,NIL,NIL
Morning Glory,"Drama, Romance",6.4,1   hour   14   minutes,NIL,English,Passed,Lowell Sherman,Katharine Hepburn,Douglas Fairbanks Jr.,Adolphe Menjou,NIL,NIL
Lady for a Day,"Comedy, Drama",7.4,1   hour   36   minutes,NIL,"English, Spanish",Passed,Frank Capra,Warren William,May Robson,Guy Kibbee,NIL,NIL
Cavalcade,"Drama, Romance",5.9,1   hour   52   minutes,NIL,English,Passed,Frank Lloyd,Diana Wynyard,Clive Brook,Una O'Connor,NIL,NIL
A Farewell to Arms,"Drama, Romance",6.4,1   hour   20   minutes,NIL,"English, Italian, Latin, French",Unrated,Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,NIL,NIL
When Ladies Meet,"Comedy, Romance",6.8,1   hour   25   minutes,NIL,"English, French",Passed,Harry Beaumont,Ann Harding,Robert Montgomery,Myrna Loy,NIL,NIL
Reunion in Vienna,"Drama, Romance",6.3,1   hour   38   minutes,NIL,English,Add content advisory,Sidney Franklin,John Barrymore,Diana Wynyard,Frank Morgan,NIL,NIL
The Sign of the Cross,"Drama, History",6.8,2   hours   5   minutes,NIL,English,NC16,Cecil B. DeMille,Fredric March,Claudette Colbert,Elissa Landi,NIL,NIL
Lady for a Day,"Comedy, Drama",7.4,1   hour   36   minutes,NIL,"English, Spanish",Passed,Frank Capra,Warren William,May Robson,Guy Kibbee,NIL,NIL
Little Women,"Drama, Family",7.2,1   hour   55   minutes,NIL,"English, German",Passed,George Cukor,Katharine Hepburn,Joan Bennett,Paul Lukas,NIL,NIL
42nd Street,"Comedy, Drama",7.3,1   hour   29   minutes,1600,English,Passed,Lloyd Bacon,Warner Baxter,Bebe Daniels,George Brent,NIL,United States
I Am a Fugitive from a Chain Gang,"Crime, Drama",8.2,1   hour   32   minutes,NIL,English,Passed,Mervyn LeRoy,Paul Muni,Glenda Farrell,Helen Vinson,NIL,NIL
Lady for a Day,"Comedy, Drama",7.4,1   hour   36   minutes,NIL,"English, Spanish",Passed,Frank Capra,Warren William,May Robson,Guy Kibbee,NIL,NIL
She Done Him Wrong,"Comedy, Drama",6.3,1   hour   6   minutes,NIL,English,Passed,Lowell Sherman,Mae West,Cary Grant,Owen Moore,NIL,NIL
Smilin' Through,"Drama, Romance",6.9,1   hour   38   minutes,NIL,"French, English",Approved,Sidney Franklin,Norma Shearer,Fredric March,Leslie Howard,NIL,NIL
State Fair,"Comedy, Drama",6.7,1   hour   39   minutes,NIL,English,Passed,Henry King,Janet Gaynor,Will Rogers,Lew Ayres,NIL,NIL
Building a Building,"Animation, Short",7,7   minutes,NIL,English,Not Rated,David Hand,David Hand,NIL,NIL,NIL,NIL
The Merry Old Soul,"Animation, Short",5.9,8   minutes,NIL,English,Add content advisory,Walter Lantz,Tex Avery,Walter Lantz,NIL,NIL,NIL
The Three Little Pigs,Family,NIL,NIL,NIL,English,Add content advisory,Wes Tank,Tex Avery,Walter Lantz,NIL,NIL,NIL
Mister Mugg,"Short, Comedy",7.4,20   minutes,NIL,English,Add content advisory,James W. Horne,James Gleason,Dorothy Christy,Ben Alexander,NIL,NIL
A Preferred List,"Short, Comedy",8,20   minutes,NIL,English,Add content advisory,Leigh Jason,Dorothy Lee,Chick Chandler,Otto Fries,NIL,NIL
So This Is Harris,"Short, Comedy",6.1,28   minutes,NIL,English,Add content advisory,Mark Sandrich,Phil Harris,Walter Catlett,Helen Collins,NIL,NIL
Krakatoa,"Documentary, Short",6.8,23   minutes,NIL,English,Add content advisory,Graham McNamee,Phil Harris,Walter Catlett,Helen Collins,NIL,NIL
Menu,"Comedy, Fantasy",6.3,10   minutes,NIL,English,Approved,Nick Grinde,Pete Smith,Luis Alberni,Una Merkel,NIL,NIL
The Sea,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
Lady for a Day,"Comedy, Drama",7.4,1   hour   36   minutes,NIL,"English, Spanish",Passed,Frank Capra,Warren William,May Robson,Guy Kibbee,NIL,NIL
State Fair,"Comedy, Drama",6.7,1   hour   39   minutes,NIL,English,Passed,Henry King,Janet Gaynor,Will Rogers,Lew Ayres,NIL,NIL
One Way Passage,"Comedy, Drama",7.5,1   hour   7   minutes,NIL,English,Passed,Tay Garnett,William Powell,Kay Francis,Frank McHugh,NIL,NIL
The Prizefighter and the Lady,"Comedy, Crime",6.3,1   hour   42   minutes,NIL,English,Passed,W.S. Van Dyke,Myrna Loy,Max Baer,Primo Carnera,NIL,NIL
Rasputin and the Empress,"Biography, Drama",6.5,2   hours   1   minute,NIL,English,Passed,Richard Boleslawski,John Barrymore,Ethel Barrymore,Lionel Barrymore,NIL,NIL
It Happened One Night,"Comedy, Romance",8.1,1   hour   45   minutes,NIL,English,PG,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,NIL,NIL
The Affairs of Cellini,"Comedy, Drama",6,1   hour   19   minutes,NIL,"English, Italian",Approved,Gregory La Cava,Constance Bennett,Fredric March,Frank Morgan,NIL,NIL
